13	8	5	5	8	10	9	5
12	6	5	5	15	15	14	10
56	20	11	16	21	14	18	14
49	15	10	14	18	14	12	16
11	7	5	5	5	5	3	5
11	6	5	5	9	9	9	7
13	6	5	5	10	11	11	8
45	14	10	10	19	14	18	14
12	6	5	5	9	10	10	7
11	6	5	5	5	5	4	5
71	18	11	17	28	14	15	16
14	8	4	5	8	10	5	5
28	16	11	16	21	13	14	16
43	14	9	10	19	14	17	13
13	6	5	5	9	11	11	8
36	20	10	16	19	13	17	20
14	8	7	6	5	5	4	5
11	6	5	5	5	7	6	5
68	19	9	14	20	16	15	13
14	10	7	6	10	12	12	8
29	18	9	17	15	13	21	11
47	21	12	15	30	14	17	22
42	25	11	15	15	13	25	11
11	7	6	5	5	5	3	5
12	6	5	5	6	5	4	5
49	15	11	18	25	11	17	16
10	6	5	5	12	14	12	8
11	6	5	5	6	6	5	6
28	15	9	12	17	12	16	11
12	6	5	5	9	11	11	8
15	7	5	5	5	6	5	6
18	13	13	8	5	5	3	5
12	7	5	5	6	7	5	6
33	15	9	12	16	12	13	10
11	6	5	5	5	5	3	5
11	6	4	5	6	5	7	6
14	8	8	6	5	5	4	5
11	6	5	5	5	7	6	5
19	12	10	8	7	5	4	5
49	17	9	14	19	14	12	16
30	19	10	17	26	11	20	13
34	15	9	14	19	12	18	12
16	10	8	6	12	15	16	9
31	18	11	24	15	9	18	11
40	20	11	15	20	14	18	20
11	6	5	5	5	7	6	5
11	6	4	4	5	5	3	5
13	6	5	5	10	11	11	8
49	18	9	16	15	12	17	14
17	11	12	6	5	5	6	6
12	6	4	4	6	5	5	5
17	12	10	7	13	17	19	10
40	17	11	17	19	15	15	20
12	6	5	4	17	20	16	11
11	6	5	5	10	12	13	8
20	13	11	7	6	5	5	5
12	6	5	5	7	8	10	7
11	6	5	5	5	5	4	5
55	17	9	11	16	15	14	16
12	6	4	5	13	17	15	10
61	22	11	11	15	14	12	10
78	19	10	16	22	19	18	17
12	6	5	5	6	5	5	6
