11	6	5	5	6	5	3	5
10	6	5	4	5	5	3	5
10	6	5	5	7	8	7	6
14	8	4	5	8	10	5	5
37	21	10	17	14	14	20	12
11	6	5	5	5	7	6	5
40	17	9	22	13	14	21	12
42	18	8	13	11	15	8	8
14	8	4	5	8	10	5	5
60	21	10	14	25	14	16	17
36	17	11	12	20	13	18	20
11	6	4	5	10	11	11	8
18	14	10	7	11	15	13	8
54	16	9	11	18	16	14	11
13	8	4	5	8	10	5	5
42	22	9	15	13	14	21	10
12	7	6	5	7	5	3	5
48	20	10	16	18	15	18	20
16	11	8	6	5	5	5	5
15	19	19	6	9	11	12	7
11	6	5	5	5	7	6	5
15	8	5	5	7	7	5	6
11	6	5	5	12	15	12	9
16	12	9	6	11	15	12	8
11	6	5	5	5	7	6	5
12	6	5	5	6	7	7	6
11	6	5	5	5	5	4	5
12	8	6	5	5	5	4	5
11	6	5	5	5	5	4	5
59	20	11	14	17	10	10	17
12	7	5	5	9	11	11	8
20	12	9	6	10	12	13	8
11	6	5	5	7	9	7	6
16	11	8	6	10	13	12	8
22	12	13	8	5	5	4	5
46	18	8	13	11	15	9	8
20	14	13	8	5	5	3	5
26	11	6	8	10	6	10	7
34	13	9	14	21	12	18	16
13	8	5	5	8	10	9	6
12	7	5	5	17	20	17	11
11	6	4	5	11	12	12	9
11	6	5	5	5	5	5	5
21	12	14	8	7	5	4	5
11	6	5	4	11	11	8	7
11	6	4	5	7	7	11	7
42	19	8	13	12	19	11	10
11	6	5	5	9	11	10	7
11	6	4	4	5	5	3	5
50	21	10	16	19	14	20	20
12	6	5	5	7	7	7	6
30	12	6	11	10	6	11	8
65	21	11	11	19	17	14	15
13	6	5	5	5	5	4	5
10	9	19	4	5	5	6	5
11	6	4	5	5	5	5	5
36	19	9	16	22	12	17	16
11	6	4	5	6	6	7	6
11	6	4	5	6	5	7	6
43	19	8	18	16	14	21	14
17	9	8	7	7	5	4	5
17	12	10	6	11	14	16	9
38	20	11	18	15	10	18	13
20	10	8	7	5	5	5	5
71	34	11	20	20	15	15	20
14	8	4	5	8	10	5	5
39	18	12	19	22	12	18	11
11	7	4	5	6	10	8	5
12	8	5	5	8	10	10	6
38	20	9	11	15	8	12	8
11	6	5	5	5	7	6	5
44	16	9	14	19	12	13	13
12	9	18	5	13	17	15	10
11	7	5	5	5	5	5	5
20	15	11	7	13	16	14	9
13	16	18	5	7	11	9	6
14	8	4	5	8	10	5	5
62	21	12	15	17	11	10	17
60	15	10	12	22	13	17	16
12	8	4	5	7	8	7	5
14	18	18	5	7	10	9	6
64	20	10	12	19	19	14	15
58	20	8	11	15	15	10	11
16	10	7	6	9	10	11	7
14	8	5	5	7	7	5	5
11	6	5	5	5	5	5	5
11	7	7	5	5	5	3	5
62	21	12	16	18	11	10	17
12	9	18	5	12	14	15	10
50	14	9	12	22	12	18	15
18	12	10	7	12	15	16	9
11	6	5	5	13	16	15	10
35	19	10	16	23	12	17	17
11	6	5	5	5	7	6	5
11	7	4	5	6	10	8	5
11	6	5	5	5	6	5	5
23	6	4	5	8	8	8	7
49	20	10	16	19	16	23	17
13	8	4	5	8	9	8	5
11	7	5	5	5	5	3	5
42	18	11	16	26	13	21	22
11	6	5	5	5	5	3	5
